recommendation_type,entity_type,entity_id,customer_segment,priority,recommendation,business_reason
Win-back Campaign,Customer,CUST00035,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST00036,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST00037,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST00038,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00039,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST00040,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST00041,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00045,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00046,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00047,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00048,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00049,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00050,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00051,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST00052,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST00053,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST00054,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00055,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00056,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00057,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00058,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST00059,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST00061,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST00062,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00063,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00065,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00066,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST00067,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST00068,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST00069,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST00070,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00071,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00072,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00073,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST00074,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Reactivation Campaign,Customer,CUST00075,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST00076,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00077,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST00078,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00079,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00080,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST00081,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Reactivation Campaign,Customer,CUST00082,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST00083,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00084,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00085,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00086,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00087,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00088,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00089,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST00090,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST00091,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00092,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00093,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST00095,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST00096,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Win-back Campaign,Customer,CUST00097,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00098,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00099,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00100,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00101,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00102,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00103,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST00104,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Campaign,Customer,CUST00105,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST00106,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST00107,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST00108,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00110,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00111,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00112,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00113,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00114,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00115,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00116,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00117,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST00118,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST00119,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST00120,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00121,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00122,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00123,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00124,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST00125,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00126,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00127,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Second Booking Campaign,Customer,CUST00128,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST00129,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST00130,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST00132,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST00133,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00134,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST00135,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00136,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00137,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00138,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST00139,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST00140,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST00141,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST00142,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00143,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00144,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST00145,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00146,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST00147,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00148,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00149,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST00150,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST00152,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST00153,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST00154,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00155,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST00156,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST00157,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST00158,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST00159,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00160,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00161,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST00162,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00163,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00165,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00166,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST00167,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00168,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00169,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00170,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00171,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST00172,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00173,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00174,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00175,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00176,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST00177,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST00178,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00179,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00180,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST00181,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00182,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST00183,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST00184,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST00185,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST00186,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST00187,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST00188,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST00189,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST00190,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST00191,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST00192,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST00193,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST00194,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST00196,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST00197,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00198,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00199,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00200,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST00201,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST00202,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST00203,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00204,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST00205,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00206,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00207,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00208,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00209,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00210,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00211,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST00212,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST00213,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST00214,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST00215,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST00217,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST00218,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST00219,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Second Booking Campaign,Customer,CUST00220,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
